A - a

a kind of bird	कंचर गाड्‍दी
lean on	ओरगा दोसमड
learn	करियुडु
leash	पग्‍गोम
leather rope or strap	वारना
leave	होड़सीय्मड़
leave the skin behind	तोल होळस्मड
leave.behind.skin.covering.by.cobra	कूसम तेंडमड़
leech	जेनगा
left	डेमा
left (hand)	डेमा केय्‌दे
left (side)	डेमेर्ग्
left.over.portion	अड्‍गु-बुड्‍गु
leg	काल
·	काल्‍कू
leg of bed	कॊसुल
length of foot	काल्‍कुना पोड़गु
lentil (kind of)	कंदीं
letter	उत्रम
lick	नाकूड
lid	मूता
lie	आबद्दम
lie (a)	लबाड
lie down	हिड मींडमड़
lie in coils	गीडी-पा-
life	आवसु
·	पिस्वर
life of animals	जिवराशींना जीवा
lift	तेहमड़
light (fire)	नीरस्मड़
·	पोतिच्मड़
·	पोत्तुडु
·	मासमड़
light (from source)	वेल्‍गु
light (in the)	वेल्‍गुने
lighter	जकामुका
lightning	मेरसुड़
like	लेसीं
like that	अदुन लेसीं
like this	इदुन लेंसीं
like this (type)	इसंटद
like.this	इल्‍हा
liking	कुसी
lime	सुन्नो
limp	कुंटुड
line	गीता
line (in a)	पंगत
lion	सिवम
lip	पेदवि
liquor (generic)	कल्‍लू
liquor (kind of)	इता कल्‍लू
·	ताडि-कल
liquor maker	गमुलोड
litter	तुक्‍कु
·	सित्‍कु
little	गिचचो-गिचचो
little fish	सिन्ने मीन
little girl	बुज्‍जि
little-little	कोंचम-कोंचम
live	नांदे-मा-
·	पिसमड़
·	पिस्वर पिस्मड़
·	मंदमड़
live.on.earth	बूमी पोरो मन्‍मड़
liver	कारजेम
·	तड़की
living things	जिवराशीं
living.alongside.tree	मराकुन पीसि मनमड
lizard	कुदुर डोक्‍के
lizard (generic)	डोक्के
lizard (household)	कुदूर डोक्के
lizard (snake-like)	तरास डोक्के
load	मॊता
loan	कर्ज
·	बाकी
local cigarette	बीडी
lock	तालम-डब्बा
lodging of bridegroom's party	दनास लोन
loft	अट्‍कु
log	मोदोल
log.of.wood	कट्टें,मोट्टुक
long	पोडगु
·	लंबू
long section of a field	कोंड्रा
long time ago	मुन्नेटा जमानाते
look (a)	नदर
look (to)	नदर वाटमड़
looks.like.a.monkey	कोतीतालेसीं दिसमड
loop of snare	पासा
loose (of rope)	लेहामड़
loose.rock	अरगना-बंडा
loosen (something)	डीला कियमड़
loot	लुटांच्मड़
loser	लक्‍कु
loss	मुड्‍गमड
loss (make a)	एते मुडुंगमड़
lotion	मत्तु
loudly	अड्डीगा
·	लगांचि
louse	पुर्कि
·	पुर्कि हीरू
love	जीवा कीयमड
·	लाड
·	लाड-कियमड़
lovely	जोरदार
lover (f.)	नौरी
lover (m.)	नौरल
low tone	गुप–चुप
lower	रेहुडु
lower abdomen	पोत्ती पीर
luck	तक्दीर
·	नसीब
lungs	डोब्बा

M - m

mad person (f.)	पिस्से
mad person (m.)	पिस्‍सल(पिस्‍सा मनकल)
made (to be)	तयार आता
madness	पिस्‍सा
magnet	लोहचूंबक/चुंबक
mahar.caste.person	मालावाड
mahua flowers	गारे काया
main	कास
main beam	एनागरा वासम
maize	मक्कें
maize (flower)	रेला पूता
make fun of	मजाक उडांचमड
make hot	कासुह्मड़
make into a ball	गुंडुर्गा कियमड़
make jokes (during marriage)	मरमीने सात्राल्‍क
make known	नार हाटमड़
make ready	तयार कियमड़
·	निव्डी-की-
·	मुल्‍ले दोहामड़
make rope	नोटुडु
make use of	कामुन रोप्पो येत-
·	तासमड
·	पाय्‍दा येतमड़
make wet	नह-
make.canal	काल्‍वा तेंडमड़
male	पॊतू
male (animal)	पोतु जिवराशी
male.buffalo	पॊतु बर्रे
man	मनकल
·	मांड्‍सा
man (old)	मातरल
man and woman	मुर्तड-मांड्‍सा
man from there	अगाटोर
man of Harijan caste	संड्कल
man who is always with ladies	वेय्लो-जुङ्ङाल
man who tends buffaloes	बर्रेना बोयुडु
man who tends cattle	गोड़्क कोहानोर
man with female complexion	वेय्लो-जुङ्ङाल
mangalsutra	गंटेपुस्‍ती
manganese	मॅगनिज
mango tree	मर्का मरा
mango.pickle	मर्काकाया तोक्‍कु
manner	हर्रि
manure	एरवु
manure basket	हड्‍पी तट्टा
many coloured	रंगुल्‍क
map	नक्‍शा
margosa (kind of tree)	सॆदेपा मरा
mark	टिक्‍ली
·	बोट्टू
market	जातरा
marking nut tree	कोह्का मरा
marriage (day after)	मरमींना मोदटा रोजू
marriage (second)	पाटुंक तरमड़
marriage ceremony	मरमीं
marriage function (kind of)	कुड़का रेय्‍के तासमड
·	वेर्‌माय्टा
marriage jokes	मरमीने सात्राल्‍क
massage	तॊमुड़
massage to relieve pain	मालिस कीयमड
mat	सापा
·	सापा
match	आटा कर्समड़
matchbox	अग्‍गि डब्‍बा
matchstick	अग्‍गि पुल्‍ला
materials	सामन
maternal grandfather	तातल
maternal.grand.father	यावना बाबल
maternal.grand.mother	यावना यावल
matter	पोल्‍ले
·	विसय
matting	गलमा पिड़पू
mature (m.)	मुर्तोर
mature (nm.)	मुर्ता
meadow	बल्‍ला
meal	गाटो
meal (big)	गाटो तिनुड़
meaning	अर्तम
meanwhile	अच्चोर लोप्पो
measure	नाडे
·	लेक्‍कुमड़
measure (a kind of)	अर्सोला
measure (large)	तव्‍वा
measure (small)	अरसोला
measurement	कहुडु
measuring stick	बेता कट्टे
meat	हव्‍वी
meat (piece)	कंडा
median height hill	नड़पिन गुट्टा
medicinal creeper	तरास कस्‍कुते ओज्‍जना मत्तु वॆली??
medicine	मत्तु
medicine man	पुजरि
meet	कलियुडु
melt	अर्गुमड़
·	करगुडु
melted object	कर्गुतव
member of household (m.)	लॊतोर
memory	मति
men	मनकालोर्क
mend	मंचिगा किम
menstruation	लङ
menstruation (room)	अर्रा
meou	म्यांव-म्यांव इन्‍मड़
message	कबूर
metal collar (agr. implement)	हेटेड
method of catching rabbits by using fire to dazzle them	माटू
midday (at)	पिय्यल
middle (in the)	नड्डुम
middle (occurrence)	नडुमतोर
middle.aged	मुदुरु
midnight	नड़जाम नरका
migration.of.birds.according.to.season	कालम कोद्दिगा होन्‍मड़
milk	पाल
·	पाल पिंडमड़
millet	जोन्ना
millet heads fed to animals	कुटार
mind	बुद्दि
·	मनसु
mine	नावद
mirror	अद्दोम
mistake	तप्‌
mix	कल्‍पुडु
mole	पुट्टु मच्‍चा
·	मच्‍चा
mole (on skin)	कुरपुम
money	रूपें
·	रूपें
money (pl.)	कोत्तां
mongoose	मुंग्से
monkey (black-faced)	गड्डी मूंजु
monkey (kind of)	कोंडेंगा
monkey.life.behaviour	कोतीतसंटा अल्‍बट्‍कु
monsoon	पिर्रु कालम
·	मुसूर
monsoon (start of)	मिरगु
month	नेला
month 01 (March-April)	कामुन पुनम नेला
month 02 (April-May)	उगादि नेला
month 03 (May-June)	मग्‍गाला नेला
month 04 (June-July)	आकाडि (-महिना)
month 05 (July-August)	पोलाला नेला
month 06 (August-September)	सुक्‍काला(नेला)
month 07 (September-October)	दिवले नेला
month 08 (October-November)	दिवोळ आम्‍स
month 09 (November-December)	सट्टी नेला
month 10 (December-January)	पुसेला
month 11 (January-February)	महो (-महिना)
month 12 (February-March)	दूराडि (-महिना)
monthly period	लङ
moon	वॆडसी
·	वेड़सी
moon (new)	अमासा
·	अमासानाडु
moong dhal (kind of lentil)	पेसेल
moonlight	वेल्‍गुने
more	एक्‍को
morning	जावोड्द पोड्द
morning (in the)	हक्‍केरे
morsel	मेता
mortar	हह्‍की
mosquito	नुल्ले
moss	पाकुर
mother	यावल
mother god	पोसम्मल
mother in law	पॊरड
mother's brother	मामल
mother's brother's wife	आत्ताइ
mother's elder sister	पेद्दि
mother's elder sister's husband	पेपि
mother's mother	काको
mother's sister	सिने सिन्नी
mother's sister's daughter	मूरिया मिय्यड
mother's younger brother	काकाल
mother's younger sister	काकी
·	यायाल(सिन्नी)
mother's younger sister's husband	काकाल
mother's.younger.sister	सिन्नी
motorcycle	पट्पटि
mount	एक्‍कुड
mountain	मेट्टा
mountain path	दडी
mountain peak	कोक्‍की
mountaneous.region	सपाट हिल्‍वा जॆगा
mouse	सुंडेल्‍ली
moustache	मिसाल्‍क
·	मीसाल्‍क
mouth	तोड्डि
·	मुस्‍किरी
move.by.rolling	पोर्लुसेके होनम्ड़
much later	नालूं रोजकुंक
mucus (dry, in nose)	सिमिड पक्‍कु
mud	सुन्ना तोडी
mud (dry)	तोडी
mud (wet)	बुरदा
mud.block	पेल्‍ला
·	मन्नु पेल्‍ला
mud.heap	मन्नु कुप्‍पा
muddy (almost)	सिक्‍कटा बुर्दा
murder	हव्‍कुडु
murmuring	गुर-गुर इन्‍मड़
murmuring.by.humans	गुल्‍गुडु
muscle	कंडा बलम
mushroom (pl.)	गूह्‍क
mushroom (sg.)	गूर
musical instrument (kind of)	किन्नेरा
·	कींकिर
·	चोंड्का
·	जंगा तूरिला
·	जत्तूर
·	डप
musical instrument (part of)	पहारा (टहारा)
·	वारी
musicians of Gonds	पाटडि
Muslims	तुरकल
mustard seed	आवल्‍क
mute (f.)	मूके
mute (m.)	मूकाल
muzzle	मुस्‍का बुट्टी
my	नावद

N - n

nail (finger)	गॊरु
nails.on.foot	काल्‍कुना गोह्‍कु
name	पोरोल
naming ceremony	पुरडी
nape of the neck	वेडेर
nasal.excrement	पल्‍सटा तेमड़ा
navel	बोड्डु
near	दग्‍गेरा
·	मोटोस
necessary (to be)	दल्‍गमड़
neck	बोंडके
neck ornament	कंटे
necklace	कुतिकट्टु
·	दुम्मे
needed	अवसरम
needle	सूदी
neem tree	सेदेपा मरा
neighbour	रोत-कारूम्नोर
·	लोता पक्‍कातोर
neighbourhood	पक्‍का लोतोर
neighbours	दग्‍गेटोर
nest	गूडा
nest (bees)	कांडोल
nest (for chickens)	कोरगूडा
nest (hole in tree)	मरा बॊलु
net (large, round)	दडंगी
net bag	हिक्‍का
never	बस्‍केन हेल्‍ले
new (m.)	पूनोर
new (nm.)	पूना
new moon	अमासा
·	अमासानाडु
newborn (f.)	सिन्ने पेगिड
newborn (m.)	सिन्ने पेडल
news	पोल्‍ले
·	वार्ता
next	वॆरे
night-blind	रेजिकटि
nikel	निकेल
nipple	सुय्यगा मनना कोस्‍सा
nit	पुर्कि हीरू
No	मन्नी
no more!	आंता
nobody (m.)	बोरे-हेल्ले
nobody (nm.)	बद्दे-हेल्ले
noise	कल्‍ला
·	लोल्ली
·	लोल्ली
noise (make a)	लोल्‍ली कियमड़
noise (much)	पेद्दा लोल्‍लिते
noise-making stick (small)	लोटारम
non.stony.ground	बंडा हिल्‍वा जॆगा
non-poison.snake	जेरगोड्डु
noose	पासा
normal	सादा-सिंपल
north	उत्तेरा
·	उत्तेरा(दिक्‍कु)
northward.wind	दावा वड़ी
nose	मोसोर
nose mucus (dry)	सिप्‍पिड
nose ring	मुक्‍कु पॊगू
nose stud	मुकपुल्‍ला
not be (to)	हिल्‍ले(हेल्‍ले)
not needed	उत्तदे
nothing (nm.)	बद्दे-हेल्ले
nothing at all	बातल हेल्‍ले
now	इंदके
now (emph.)	इंदकेने
nowhere	बगेन हेल्‍ले
numb (become)	कंडतेम
numbness	तिम्मिरि
nuzzle	बुर्रुड
·	मूस्‍कुड
nytrogen	नॉयट्रोजन

O - o

O'clock	एगनेंके
oath	ओट्टु
·	ओट्टु पियमड़
obtained (to be)	पावांच्मड़
occur to mind	विचारम कियमड़
occurrence	मल्‍का
of that kind (m.)	असंटोर(म)
of that kind (nm.)	असंटद
of this kind (nm., pl.)	इसंटां
of this kind (nm.)	इसंटद
of what kind? (m.)	बसंटद
offering (bowl with food)	बुर्सिक
office	आपीस
oh!	अब्बा
oil	निय
oil cake	गानुगु पिंडी
oil prepared out of fat	कोड़ंज़ निय्यु
oil tin	पीपा
okra	बेंडे काया
old	पडनद
old (of cattle)	मातिर जिवराशीं
old man	पडानोर
·	मातरल
old woman	मातरि
old.land	मारु बूमी
olden.days	एन्‍कटा जमाना
older man	पेद्दोड
older sister's husband	बाटो
older woman	पेद्दा
on	पोर्रो
on behalf of	हाटीं
on foot	काल्कु्‌ने
on four sides	नालुं पकां
on that day	आ नाडू
on the left hand	डेमा केय्‌दे
on the left hand side	डेमेर्ग्
on the right hand	तिना कय्‍दे
on the right hand side	तिनेर्ग्
on.the.branch	कोमन्नापोरो
on.the.earth	बुमीपोरो
on.the.rock	बंडानापोरो
on.the.sky	मबुनपोरो
once	उंदि मल्‍का
once again	इंकुंदि मल्‍का
once.again	मरुंदि मल्‍का
one (m.)	वरोर
one (nm.)	उंदि
one eye	उंदि कळु
one.which.is.liked	इस्‍टमातद
onion	उल्‍ली गड्डा
only	सिराप
open	कुल्‍ला
·	तेंडुड़ु
·	मूता तेंडमड़
open.ground	बैल बूमी
open.house	बयर लोन
open.place	बय्यारा
orange	संतार निम्मा
orchard	गुबुर
ornament	हेनुम
ornament (kind of)	कंटे
ornamental belt	मोलापट्टा
orphan (female)	अनात पोरी
orphan (male)	अनात पोराल
ouch!	अय्‍यो
our (pl.)	मावंग
our (sg.)	मावद
outside	पलते
outstanding	कर्ज
·	बाकी
overflow	पोङमड़
owl	गूपा पिट्टे
owner	मालक
oxygen	ऑक्‍सीजन
ozone	ओजोन

P - p

paddy (pl.)	वंजिंग
paddy (sg.)	वंजी
paddy.field	पोलम
paddy.grass	वंजि जाडी
pail	तालि
pain	नोप्‍पी
palace	राजवाडा
palanquin	पाल्की
palm liquor	ताडि-कल
palm of hand	अरि कय
pan	पेनेम
paper	कायदोम
parcel	मुड़ि
parch (grain)	पिडुहतव
parched grain	पिरकीं
Pardhan	पाटडि
parents	तलुर-बाबो
parrot (big)	सिल्‍का
parrot (generic)	रंबा
parrot (small)	काकी रंबा
part	हिस्‍सा
partially ripe fruit	गारे काया
partition	गूरे
partridge (kind of)	कमजू
pasture	बीड
pat on back	सुपरुड(वेल्‍कुन)
paternal.grandfather	तादल
peacock	मल
peacock feather belt	मल्‍लिका
peacock feather headdress	मल-टोपि
pearl	डिस्‍को पूसा
·	पूसा
·	मुत्याला पूसा
peel	ओड्‍हुड़
peeled (be)	ओड‍हुतव
peepal tree	पोपडम मरा
peg	कम्मी
peg at side of yoke	जोत्ते
peg of stringed instrument	कॊला
pen	पोंटोल
pencil	सिस पेंसिल
penis	पिच्‍चा
people	लोकुल्‍क
period	जमाना
·	लङ
person threatening to hit	नोप्‍पी
pesticide	मत्तु
pesticide pump	मत्तु डब्बा
pestle (stone)	पाटा बंडा
pestle (wooden)	उसमल
pet.animals	नाटे मनना जिवराशीं
petrol	पेट्रोल
petticoat	गौउन
phratry	सग्गा/पेन्‍कुन ग्रुप
pick up	पेरमड़
pick vegetables leaves	पच्‍चा कुसिर
pickles	उरागाया तोक्‍कु
piece	मुक्‍का
·	हिस्‍सा
piece of chalk	लेक्कन-कोला
pierce (accidentally)	गिच्मड़
pierce (for a tattoo)	कोह्कुडु
pierce (gore)	कोह्कुडु
pierce (poke)	कुट्टुडु
pig	पद्दि
pigeon	पावरेम(उंदि पिट्टे)
pigeon (kind of)	पोन्‍गू
pigeon hawk	पुराड-देगो (पिट्टे)
pill	गोलि
pincers	कार
pinch	किस्कुड
pink powder	गु्लाल
pinky	सिट्‍केन वेलू
pins and needles	तिम्मिरि
pip (of fruit)	पेडे
pipe (for liquid)	पैपू
pipe (smoking)	सोंगा
pipe.for.smoking	सोंगा उन्‍मड़
pit	बोंदा
pitcher	बुंदिल
·	सिट्टी
place (a)	जॆगा
place (to)	उर्समड-
place for ceremony	कडा
place for worship	पॆंदा अर्रा(आ अर्र‍ता उंदि मूला)
place things in disordered manner	रीका बाका इर-
place where a god lives	नर्रा केडा
place.near.river.to.wash.clothes	एतारेव
plain	बल्‍ला
plane (tool)	विमानम
plank	पाटि
planning	उपायम
plant	उर्समड-
·	वाटमड़(मोल्‍का)
plant (kind of)	नेरडा मरा
·	बंती पूता
plantain	अर्टी पंडी
plantain tree	अर्टी मर्रा
plantation	पिलांनटेशन
plaster	गूरे मेत्तुड
plaster.a.house	लॊन ऊसमड़
plate	गिन्ने
plate (for eating)	दडिया
plate (large)	पेद्देगिन्ने
plate (weighing scales)	तराजु
plate containing coins	आर्ति गिन्ने
plateau	सपाट जॆगा
platform for weddings	गद्दे
platinum	प्‍लटिनम
play	करसुड़ु
play (instrument )	नेकूस-
play acting	आटा
pleasure	गम्मती
plough (a)	नांगेल
plough (part of)	कर्रु
·	जोत्ते
·	पाले
plough (to)	ऊडुड़ु
plough harness (part of)	साप्ती/कर्रु
pluck	सेक्‍कुड
plum (wild)	रेंगा
plump	मोद्दु
pocket	जेब
point	कोड्डी
point out	हूपिच्मड
point where stem joins fruit	तोड्मे
pointer (scales)	काटा
pointing finger	हुपसना वॆलु/वड़जु
poison	विषम
poke	कुट्टुडु
pole (for clothes to dry on)	दंडेम
pole (ritual)	टंबम
pole (vertical)	गुंजा
polish	मेरसुडु
·	मेरस्मड़
pop (grain)	पिडुहमड़
porch	अरगु
porcupine	एदुल पद्दि
·	सुय् पद्दि
porridge (kind of)	जावा
·	पोसम्मांक मोड्‍कमड़
post (in memory of important person)	मुंदू
pot (clay, large)	बुड्डि
pot (clay, small)	कोन्‍ली
pot (cooking)	गंज
pot (large, for heating water)	एर काच्‍हना अळ्‍का
pot (metal, for water)	सेंबु
pot (metal, rounded)	अड़का
pot holder	हुम्मर
pot.bellied	बोत्ता पीटोर
potassium	पोटॅशियम
potato	आलीगड्डा
potion	मत्तु
potter	कुम्मल
potter's wife	कुम्मे
pouch	जॊले
pound	उस्‍सुडु
·	नोह्‍कुड
pound (in mortar)	कोह्‍का
pour out	वेडी/एर दोसमड़
powder (from worms)	बोंतापुडी
powder (red and pink)	कुंकुम अनि गुलाल पोडर
powder (red)	कुंकुम
powderable	दुलदुल कियावांता
power	करंट
pregnant	पीटे मंता
pregnant.women	बोत्ता पीटद
prepare	तयार कियमड़
·	निव्डी-की-
·	सवरिच्‍चुड
press	अदुम्मड़
press (with great force)	दाबांच्मड़
previous	तोल्‍लो
pre-wedding tradition	हगुड
prick	कुटुसमड़
prick (accidentally)	गिच्मड़
pricking	तिम्मिरि
priest	देवारी
·	बमडाल
priest's wife	बम्डे
procure	कमय कियमड़
prodding stick	मुलकट्टे
produce (cultivated)	पंटा
profit	पाय्‍दा
proliferate	पुड़ि
proper	सोक
proper (be)	जोडांच्‍सेके
prostrate oneself	मडगद्दे वाटमड़
protect	रोमबोच्‍चें कल्‍पमड़
provisions	संदा
pull	इग्‍गुडु
pull out	पीकुड़
pull up	एकिच्मड
pullet	कोर पेट्टा
·	कोर-पेट्टा
pulley (on well) pull	गिर्का
pulse (kind of)	कंदीं
pulses	पप्‍पु
pulses (kind of)	पेसेल
pump (for pesticides)	मत्तु डब्बा
pumpkin	गुमड़काया
punishment	सिक्सा
puppy	नय पोरी
pure	कलति हिलवदु
pus	कूलुम
push	दोबमड़
push (with fingers)	अच्‍हुडु
push in	लोप्‍पो वाटमड़
push over	कूडूस-
pustule	बर्रां
put	इर्रुडु
put (seed)	उर्समड-
put down	दोसमड़
put hands together	रामराम कियमड़
put in	नेह
put on	तासमड
·	पॊंडमड़
put on eye colour	काटके तासमड
put sitting	उपिच्मड
put standing	नित्तिच्मड
·	निपूस्मड़
·	निल्‍लुस्मड
put to sleep	मिंडिच्‍चुड
python	मासूल तरास

Q - q

quail	ऊत पिट्टे
quarrel	उर्रे अरमड़
·	जगडम
quarter	उंदि पाव हिस्‍सा
queen	रानी
quench thirst (become)	आरुडु
question	पूस कियमड़
quickly	जपन-जपना
·	जप्‍पना
·	लगांचि
quiet	सपलाका
quilt	बिलांकेट
quit	होड़सीय्मड़
quiver	पैपू

R - r

rabbit	कुंदेल
·	सीमा कुंदेल
racket	लोल्ली
racket (a)	लोल्ली
racket (make a)	लोल्‍ली कियमड़
rafter	वासा
rags	पॆगु
rain	पिर्रु
rain drop	सिन्‍कु
rainbow	सिंगिड
rainwater	पिर एर
rainy season	पिर्रु कालम
raise	तेदूस-
·	तेहमड़
·	निपूस्मड़
raise position	तह-
rake	दंते
ram	येड्का
rashes.on.skin	गज्जि
rat	एल्‍ली
rat (kind of large)	गूसी
rate	दरा
·	वड्डी
raw	पच्‍ची
raw.iron	इनपा
raw.meat	पच्‍ची हव्‍वीं
raw.taste	ओगोर
ray tree	जिलोड मरा
razor	मज्‍जे
reach	अंदुडु
·	एव्‍वुडु
read	हद्वुमड़
ready (get)	तेदमड़
ready (to be)	तयर किय्‍वल्
·	तयार आयमड़
·	दुरुस्‍त आयमड़
reap	सेक्‍कुड
rear (of bird)	गुदापुट्टी
receptacle (of joined hands)	दोसिल
recognize	मुट-
recollection	मति
recurring time	वक्तून-वक्त
red	एर्रगा
red.fish	ताडी बोट्टे
red.hen	येर्रा कोर्रु पोरी
red.hot.coal	डोग्‍गां
red.mud	एर्रा मन्नु
red.pearl	एर्रा पूसा
red.sheep	एर्रा गोर्रे
red-faced monkey	कॊती
reduced to ashes (to be)	दुब्बा दुब्बा आ
refuse (rubbish)	काडी कचरा
release	होड़सीय्मड़
release.a.closed.mouth	मुच्‍चुता तोड़दुन होळ्‍समड़
release.air	वळी होळ्‍सुड़
release.feather	ईका कुचुह्मड़
religious observances (pl.)	आचाराल्‍क-विचाराल्‍क
remain (to)	मैयमड़
re-marriage	पाटुंक तरमड़
rememberance post	मुंदू
remove	तेंडुडु
·	दोसकुन्‍मड़
repent	तप आता इंचि ओपुकुन्‍मड़
·	तप ओप्‍कुनमड़
replanter	नेर वाटनोर
replete (to be)	निंडिसी
reportative ('it is said')	अल्ले
·	बेर्रे
request	तल्कमड़
residence	मनना जॆगा
resound	तिरियसि केंजा वायमड़
respect	मान
respectful (to be)	मान हियमड़
rest	आराम कियमड़
restrict	बंद कियमड़
return	मल्‍सी वायमड़
·	मल्‍हुड
revile	रांगमड़
revive to life	तेह-
rheum of eye (dry)	सिप्‍पिड
rib cage	बरबद बोक्‍का
rice (ceremonial)	तलबाल्‍क
rice (scraps)	अंट्‍कुल्‍क
rice (uncooked)	पर्रिक
rich man	सिरमंतोड
riddle	सातराम(वेसुडी)
right	तिना
right (hand)	तिना कय्‍दे
right (side)	तिनेर्ग्
right away	जप्‍पना
right now	इंदकेने
ring	उंगरम
·	टिक्‍ली मुद्दा
·	मुद्दा
ring finger	मुद्दा वॆलू/वंड़जु
ring-worm	मच्‍चा
ripe fruit	पंडि
ripen	पंडुड
·	मुदुरमड
rise	तेदा
·	नितमड़
rise (stand)	निल्‍लुड
rise (sun)	पेय्‍समड़
ritual (kind of)	हगुड
ritual bamboo pole	टंबम
ritual bath	तला पोरोटाल एर तुंगमड़
ritual food server	जीतागाड़
ritual offering	बुर्सिक
ritual song	देना पाटा
ritual song and dance	दंडारि
ritual stick	पुटकेल्‍क
river (large)	गंगा
river (medium)	कुडेर
river (small)	सील्का
rivulet	सील्का
roam	वॆली
roam.in.forest	केडातेन वेलियमड
roar	मोत्‍कुन्‍मड़
roast	बोड्‍समड
rob	लुटांच्मड़
rock	पर्पु बंडा
rock (big)	पेद्दा बंडा
rock pigeon	पावरेम(उंदि पिट्टे)
rocky.ground	बंडाना गेर्से
rod (medium)	सिन्ना कट्टे
rod (threshing)	गूटे
rohu.fish	एर्रा पोर्सु पर्का
roke	सुन्ना बंडा
roll over	कूड-
roll up	हुट्टुडु
rolled up (to be)	हुटतद
roller (bird)	पाला पिट्टे
roof	दाबा
·	पाका
roof (part of)	जापुर दोहामड़
room	अर्रा
·	अर्रामूला
·	कॊली
room (inner)	लोप्‍पोटा अर्रा
rooster	गोगोड
root	हीरु
root (kind of)	गड्डा
rope	नोंडे
rope (for bullocks)	पग्‍गोम
rope (for tying cattle)	दामीड
rope (leather)	वारना
rope (thin)	सुतिल नोंडे
rope (to make)	नोटुडु
rosella	पुल्‍ला मरा
rot	मुर्ग्मड़
rotten	मुर्ग-मुर्ग
rotten egg	हेड्‍सोत्ता मेंजू/गुड्डू
rotten.egg	कळियता मेंजू
·	मुरिगिसी होत्ता मेंजू
rotten.eggs	कराब मेंजू
round	गुंडुरगा
round and round	गिरा-गिरा
rouse from sleep	तेह-
row	पंगत
rubbish	काडी कचरा
·	तुक्‍कु
·	सित्‍कु
ruminate	नेमर वाटमड़
run	वित्तुडु
run very fast	इरगा वितुमड़
run.with.wagging.tails	तोका उपसेके वित्तुडु
running.nose	पोंगसेके मनना मोसोर
Rupee	रूपाय
rushed	गाबरा
rust	जंग पियमड़
rust (on plants)	नुसि

S - s

sack	पॊता
sacred spear head	सल्ले
sacred thread worn around waist	मोल्‍दारम
sacred Tulsa tree	तुलसे मरा
sacrificial animals	जड़ता पीयना पोतु
sag	ओदोल आयमड़
saint	मुनि
saj tree	मद्दि मरा
saliva	सोल्‍लू
salt	होव्‍वोर
salute	रामराम कियमड़
sand	उस्के
sandal	हेरपुम
sandish.rock	उस्‍के बंडा
sanva corn	सामा
sapling	पोर्का
sapota tree	चिकु(मरा)
sari	पातळ कप्‍पिड
sari (part of)	हटाकोंगु
satisfied (to be)	निंडिसी
Saturday	सनेरम
savage	केडा मन्‍कल
save	मिगिलिच्मड़
saw.dust	बुस्‍सी
say	इत्ते
·	इनुडु
scab	पक्‍कु
scale	पोर्सू
scar	गाव
scare away	बेदरिच्मड़
scarecrow	बेदुर
scatter	विसुरमड़
scatter (food)	पडीं
scattered (be)	रीका बाका आ-
scent	अत्‍तर
school	इस्‍कुल
school of fish	जिम्मंना मंदा
scissors	कत्तेरा
scold	रांगमड़
scoop	तोर-
scorpion	मिच्चो
scorpion (red)	एर्राटा मिच्‍चो
scrape	रासमड़
·	लीकमड़
scrape off	कूसुड
scrape up	उड्पमड़
scraps	अंट्‍कुल्‍क
scratch	कूल्‍हुड
screen (bamboo)	गलमा पिड़पू
sea	संदरम
search and find	कमय कियमड़
search for	पहकुडु
season	कालम
season (curry)	पोय्‍स्मड़
seasoned vegetables	कुसिर
seat	उद्दिच्मड़
·	उपिच्मड
·	कुत्तूल
seat adjacent to wall	तीने
second	वॆरे
second finger	मुद्दा वॆलू/वंड़जु
secrete.saliva	उच्‍चुल वायमड़
secretion (dry)	सिप्‍पिड
secretly	गुप–चुप
section of field	वोपा/गुंटा
section of town	पक्‍का लोतोर
seed (for sowing)	विज्जा
seed (of 'mahka' fruit)	मर्का पेडे
seed (of fruit)	पेडे
seed (of sesame)	नूंग
seed (of tamarind)	हित्ता पेडे
seed drill	गोर्रु
seed drill (horizontal part of)	मोदोल
seeder	दोर्ना
seem	दिस अरमड़
seize	पीयुड
sell	अम्मुड
separate	वॆरे
·	वॆरे-वॆरे
·	वेरे कियमड़
separated (to be)	पैलंच्मड़
servant	जीतागाड़
service	नोव्‍करि
sesame seeds	नूंग
set (of sun)	एते मुडुंगमड़
set a trap (to)	सजांच्मड़
set up	उर्समड-
settle	तलसुकुन्‍मड़
seven (m.)	येड्वीर
seven (nm.)	एडूं
sew	कुट्टुडु
shade	नीडा
shade.adjacent.to.house	लोता सूरु पीसि
shake	ऊपमड़
·	मेल्‍हुमड़
shake off	दुल्‍पमड़
share	तूस
sharp	सुय्यगा
sharp.stone	कत्तेरा बंडा
sharpen	मेय्‍सुडु
sharpen (an instrument)	मंचिगा किम
sharpening stone	मेय्‍से बंडा
sharpening.stone	मज्‍जे बंडा
shave	कोरियमड़
she (dist.)	अद
she (prox.)	इद
she crocodile	तलुर मग्‍गुर
she dog	तलुर नय्यू
shed (for animals)	कोड़का
shed (for goats)	अर्रा
sheep	गोर्रे
·	जिंका
shell	हीपि
shell (of crab)	कोरडॊकी
shell (to)	ओड्‍हुड़
shell of chironji	सीटे
shell of mahua flower	कॊलू
shelter	मंडा
shepherd (f.)	गोल्ले
shepherd (m.)	गोल्लल
shift	जर्गमड़
