A - a

a kind of bird	कंचर गाड्‍दी
blood	नेत्तूर
blot	सुक्‍का
blouse	रेय्‍के
blow	देब्‍बा
blow (horn)	उह्‍कुडु
blow away	उह्‍कुड
blow nose	सीमिड तेंडुड
blowing horn	तुताकोम
blue (dark)	मब्‍बु रंगु
blue (light)	हापाकाया रंगु
blue.whale	देव मासा
blurred	गुड्डि-गुड्डि
board	पाटि
boat	ओडा
·	संगोडि
body	मॆंदुल
boil	एसर वायागोटमड़
·	काच्‍हुडु
·	कासतद
boil (on skin)	पुन
·	बर्रां
boil over while cooking	ऊसुडु
boiled water	काच्‍हुता एर
bolt (for axle)	सीला
bond	अंटकुन्‍मड
bone	बोक्का
book	पुस्तकम
bore	तव्‍वुडु
bore hole	बोल अर्हमड
born (to be)	दोर्कमड़
·	निर्मान-आ-
bosom	दूदो
both (nm.)	रोंडु
bottle	कीसा
bottom	अड़गु
·	हिड़तुक
boundary fence	वेलूंग
bow	उंडिला
bow (of instrument)	कींकिर पुल्‍ला
bow.down.head	तलाकिंदी वाटमड़
bowels	पॆंडा पोदूर
bowl	कटोरी
bowl (of clay)	सिप्‍पा
boy (newborn)	सिन्ने पेडल
boy (son)	पेडाल
boys and girls	मियड-मर्रि
bracelet	कयदा गोल्‍स
·	हेनुम
Brahmin (m.)	बम्डाल
Brahmin (nm.)	बम्डे
brain	मेदड
branch of tree	पोदा
brand (something)	वातम
brass	इत्तोडी
brass.vessel	इत्तोड ताली
brave	दैरनेम
·	वेर्रे हिल्‍वोड
bravery	गट्टितनम
brazier	मरा बॊलु
bread (kind of)	बूडा
·	हारी
breadh	नेरवु
break (snap a rope)	नमीस-
·	नेम्‍हामड़
break by throwing	इस्रिसि पय्‍हामड़
break into pieces	मुक्‍का कियमड़
break off	उरुहमड़
break off (while cutting)	तिवमड़
break open	वोह-
breakable	सेक्‍कां किया वांता
breast	दूदो
·	बोम
brick	इट्के
bride	नोव्रि
·	नौरी
bride and groom	नोव्रि-नोव्राल
bridegroom	नोव्राल
·	नौरल
bridle	बेडी वाटमड़
bring	तरमड़
·	तरुमड़
·	ता
bring back	मल्‍हुड
bring out	पेय्‍समड़
brinjal	हापाकाया
broken down	कुल्‍हुड
broken egg	विरियता मेंजू
broken.egg	पय्ता मेंजू
bronze	कंचु
bronze pitcher	बिंदे
bronze-winged dove	गुव्‍वा
brood.over.eggs	पोद्‍गुमड़
brook	सील्का
broom	कैसुर
·	हेपुर
brother	सिने तम्मुर
brother's daughter	दादना मिय्यड
brother's son	दादना मर्री
brown	नास
brown sugar (coarse)	बेल्‍लम
bubble	बुड़का
bubble over	पोंग वायमड़
bubble while boiling	दुन्‍कुमड़
bucket	बालटी
bud (to)	मोलिय्मड़
bud of flower	पूतता मोग्‍गा
·	मोग्‍गा
buffalo	बर्रे
buffalo (m.)	दुन्ना पोतू
buffalo (wild)	केडा बर्रे
bug	कोर पुर्कि
build	तेह-
build.a.house	लॊन दोहमड़
building	बंगला
bulb	बुग्गा
bulge.stomach	पीरु उबमड
bull	कोंदा
bull (consecrated)	नंदी
bull calf	कुर्रा
bullock blanket	बर्रे बूराताल तयार कीता बिलांकेट
bullock cart	कासूर
bullock cart (part of)	जोत्ते
bullock cart (small, for carrying people)	सिने कच्‍लम
bullock cart (with covering)	पिडपू कचलम
bumble bee	बोंगोर वीसि
bunch	गुत्ति
bunch (hair)	जेडा
bundle	मुड़ि
·	मुल्‍ले
buried (to be)	मुचमड़
burn	नीरस्मड़
·	पोतिच्मड़
·	पोत्तुडु
·	बोळ्‍समड़
·	मासमड़
·	वॆता
burnt (to be)	करवुडु
burnt stick	कूटेल
burnt up (to be)	दुब्बा दुब्बा आ
burst	पैय्‍युडु
·	वोह-
bury	बोंदा दोसमड़
but	गनि
·	गानी
butter	वेन्ना
butterfly	पापेर
buttermilk	कोरोप
buttock	पिर्रा
buttons	गुंडिंग
buy	एतमड़
by day	पिय्यला
by oneself	ओना वरोनदे
by themselves	ओनद-ओरे

C - c

cabbage (generic)	गोबी
cabbage (leafy)	पत्ता गोबी
cage	पंजरम
cake (kind of)	गार्का
calculate	लेक्‍कुमड़
calf (of cow)	पेय्या
calf (of leg)	पेय्या काल
calf(f.)	दूडा
call	केयमड़
calling.little.chicks.to.mother	कोर्दा कुरकुर इन्‍मड़
camel	लोटापेटा
canal	काल्‍वा
cane stick	दुड्डु
capping	मूता
Carbondioxide	कॉर्बनडायाक्‍साइड
carefully	जॆगरता
·	पद्‍लेंगा
carpenter	वड्‍लल
carry (in lap, or on shoulder)	एत्तुडु
carry on head	कांज्‍सी ओयमड़
carry on shoulder	कांजमड़
carrying yoke with slings	कावेड
cart (large)	कासूर
cart (part of)	नोगा
·	साट्‍वा
cart (small)	सिने कच्‍लम
cart (with covering)	पिडपू कचलम
carve	कोय्युडु
carving tool	बाळ्‍से
